reference,class_id
2013_11_22_11,4.0
2013_11_22_12,4.0
2013_11_22_13,4.0
2013_11_22_14,4.0
2013_11_22_15,4.0
2013_11_22_16,4.0
2013_11_22_17,3.0
2013_11_23_06,3.0
2013_11_23_07,3.0
2013_11_23_08,3.0
2013_11_23_09,3.0
2013_11_23_10,3.0
2013_11_23_11,4.0
2013_11_23_12,4.0
2013_11_23_13,4.0
2013_11_23_14,4.0
2013_11_23_15,4.0
2013_11_23_16,4.0
2013_11_23_17,4.0
2013_11_24_06,4.0
2013_11_24_07,3.0
2013_11_24_08,3.0
2013_11_24_09,3.0
2013_11_24_10,3.0
2013_11_24_11,3.0
2013_11_24_12,4.0
2013_11_24_13,4.0
2013_11_24_14,4.0
2013_11_24_15,4.0
2013_11_24_16,4.0
2013_11_25_06,4.0
2013_11_25_07,4.0
2013_11_25_08,3.0
2013_11_25_09,3.0
2013_11_25_10,3.0
2013_11_25_11,3.0
2013_11_25_12,3.0
2013_11_25_13,4.0
2013_11_25_14,4.0
2013_11_25_15,4.0
2013_11_25_16,4.0
2013_11_25_17,4.0
2013_11_26_06,4.0
2013_11_26_07,4.0
2013_11_26_08,4.0
2013_11_26_09,3.0
2013_11_26_10,3.0
2013_11_26_11,3.0
2013_11_26_12,3.0
2013_11_26_13,3.0
2013_11_26_14,4.0
2013_11_26_15,4.0
2013_11_26_16,4.0
2013_11_26_17,4.0
2013_11_27_06,4.0
2013_11_27_07,4.0
2013_11_27_08,4.0
2013_11_27_09,4.0
2013_11_27_10,3.0
2013_11_27_11,3.0
2013_11_27_12,3.0
2013_11_27_13,3.0
2013_11_27_14,3.0
2013_11_27_15,4.0
2013_11_27_16,4.0
2013_11_27_17,4.0
2013_11_28_06,4.0
2013_11_28_07,4.0
2013_11_28_08,4.0
2013_11_28_09,4.0
2013_11_28_10,4.0
2013_11_28_11,3.0
2013_11_28_12,3.0
2013_11_28_13,3.0
2013_11_28_14,3.0
2013_11_28_15,3.0
2013_11_28_16,4.0
2013_11_28_17,4.0
2013_11_29_06,4.0
2013_11_29_07,4.0
2013_11_29_08,4.0
2013_11_29_09,4.0
2013_11_29_10,4.0
2013_11_29_11,4.0
2013_11_29_12,3.0
2013_11_29_13,3.0
2013_11_29_14,3.0
2013_11_29_15,3.0
2013_11_30_06,4.0
2013_11_30_07,4.0
2013_11_30_08,4.0
2013_11_30_09,4.0
2013_11_30_10,4.0
2013_11_30_11,4.0
2013_11_30_12,4.0
2013_11_30_13,3.0
2013_11_30_15,3.0
2013_11_30_16,3.0
2013_11_30_17,3.0
2013_12_01_06,4.0
2013_12_01_07,4.0
2013_12_01_08,4.0
2013_12_01_09,4.0
2013_12_01_10,4.0
2013_12_01_11,4.0
2013_12_01_12,4.0
2013_12_01_13,3.0
2013_12_01_14,3.0
2013_12_01_15,3.0
2013_12_01_16,3.0
2013_12_01_17,3.0
2013_12_02_06,3.0
2013_12_02_07,4.0
2013_12_02_08,4.0
2013_12_02_09,4.0
2013_12_02_10,4.0
2013_12_02_11,4.0
2013_12_02_12,4.0
2013_12_02_13,4.0
2013_12_02_14,3.0
2013_12_02_15,3.0
2013_12_03_06,3.0
2013_12_03_07,3.0
2013_12_03_08,3.0
2013_12_03_09,4.0
2013_12_03_10,4.0
2013_12_03_11,4.0
2013_12_03_12,4.0
2013_12_03_13,4.0
2013_12_03_14,3.0
2013_12_03_15,3.0
2013_12_03_17,1.0
2013_12_04_06,1.0
2013_12_04_07,3.0
2013_12_04_08,3.0
2013_12_04_09,4.0
2013_12_04_10,4.0
2013_12_04_11,4.0
2013_12_04_12,4.0
2013_12_04_13,4.0
2013_12_04_14,4.0
2013_12_04_15,3.0
2013_12_04_16,3.0
2013_12_05_06,3.0
2013_12_05_08,3.0
2013_12_05_09,3.0
2013_12_05_10,4.0
2013_12_05_11,4.0
2013_12_05_12,4.0
2013_12_05_13,4.0
2013_12_05_14,4.0
2013_12_05_15,4.0
2013_12_05_16,3.0
2013_12_06_06,3.0
2013_12_06_07,3.0
2013_12_06_08,3.0
2013_12_06_09,3.0
2013_12_06_10,3.0
2013_12_06_11,4.0
2013_12_06_12,4.0
2013_12_06_13,4.0
2013_12_06_14,4.0
2013_12_06_15,4.0
2013_12_06_16,4.0
2013_12_06_17,3.0
2013_12_07_06,3.0
2013_12_07_07,3.0
2013_12_07_08,3.0
2013_12_07_09,3.0
2013_12_07_10,3.0
2013_12_07_11,3.0
2013_12_07_12,4.0
2013_12_07_13,4.0
2013_12_07_14,4.0
2013_12_07_15,4.0
2013_12_07_16,4.0
2013_12_07_17,3.0
2013_12_08_06,3.0
2013_12_08_07,3.0
2013_12_08_08,3.0
2013_12_08_09,3.0
2013_12_08_10,3.0
2013_12_08_11,3.0
2013_12_08_12,4.0
2013_12_08_13,4.0
2013_12_08_14,4.0
2013_12_08_15,4.0
2013_12_08_16,4.0
2013_12_09_06,4.0
2013_12_09_07,4.0
2013_12_09_08,3.0
2013_12_09_09,3.0
2013_12_09_10,3.0
2013_12_09_11,3.0
2013_12_09_12,3.0
2013_12_09_13,4.0
2013_12_09_14,4.0
2013_12_09_15,4.0
2013_12_09_16,4.0
2013_12_09_17,4.0
2013_12_10_06,4.0
2013_12_10_07,4.0
2013_12_10_08,4.0
2013_12_10_09,3.0
2013_12_10_10,3.0
2013_12_10_11,3.0
2013_12_10_12,3.0
2013_12_10_13,3.0
2013_12_10_14,4.0
2013_12_10_15,4.0
2013_12_11_06,4.0
2013_12_11_07,4.0
2013_12_11_08,4.0
2013_12_11_09,4.0
2013_12_11_10,3.0
2013_12_11_11,3.0
2013_12_11_12,3.0
2013_12_11_13,3.0
2013_12_11_14,3.0
2013_12_11_15,3.0
2013_12_11_17,4.0
2013_12_12_06,4.0
2013_12_12_07,4.0
2013_12_12_08,4.0
2013_12_12_09,4.0
2013_12_12_10,3.0
2013_12_12_11,3.0
2013_12_12_12,3.0
2013_12_12_13,3.0
2013_12_12_14,3.0
2013_12_12_15,3.0
2013_12_12_17,3.0
2013_12_13_06,4.0
2013_12_13_07,4.0
2013_12_13_09,4.0
2013_12_13_10,4.0
2013_12_13_11,4.0
2013_12_13_12,3.0
2013_12_13_13,3.0
2013_12_13_14,3.0
2013_12_13_15,3.0
2013_12_13_16,3.0
2013_12_13_17,4.0
2013_12_14_06,4.0
2013_12_14_08,4.0
2013_12_14_09,4.0
2013_12_14_10,4.0
2013_12_14_11,4.0
2013_12_14_12,4.0
2013_12_14_13,3.0
2013_12_14_14,3.0
2013_12_14_15,3.0
2013_12_14_16,3.0
2013_12_14_17,3.0
2013_12_15_06,4.0
2013_12_15_08,4.0
2013_12_15_09,4.0
2013_12_15_10,4.0
2013_12_15_11,4.0
2013_12_15_12,4.0
2013_12_15_13,4.0
2013_12_15_14,3.0
2013_12_15_15,3.0
2013_12_15_16,3.0
2013_12_16_06,3.0
2013_12_16_07,4.0
2013_12_16_08,4.0
2013_12_16_09,4.0
2013_12_16_10,4.0
2013_12_16_11,4.0
2013_12_16_12,4.0
2013_12_16_13,4.0
2013_12_16_14,3.0
2013_12_16_15,3.0
2013_12_17_06,3.0
2013_12_17_07,3.0
2013_12_17_08,4.0
2013_12_17_09,4.0
2013_12_17_10,4.0
2013_12_17_11,4.0
2013_12_17_12,4.0
2013_12_17_13,4.0
2013_12_17_15,3.0
2013_12_17_16,3.0
2013_12_17_17,3.0
2013_12_18_11,4.0
2013_12_18_12,4.0
2013_12_18_13,4.0
2013_12_18_14,4.0
